Blockchain,Date,Type,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Gnosis,18-12-22,Stablecoins,328,43,5269.17562,16.06455982,1.027291608
NEAR,18-12-22,Native Coin,353,128,142099.9959,394.7222109,42.17890767
NEAR,18-12-22,Other Tokens,362,52,808780.4391,2168.312169,0.127737833
NEAR,18-12-22,Stablecoins,553,113,361843.4055,514.7132368,29.13693188
Optimism,18-12-22,Native Coin,10410,6509,3696491.479,355.0904398,23.67202684
Optimism,18-12-22,Other Tokens,4374,2325,8403572.868,1921.2558,6.140190042
Optimism,18-12-22,Stablecoins,28622,11318,23357796.24,816.0784095,21.996631
Osmosis,18-12-22,Native Coin,3517,1170,343681.2159,97.692216,6.29529619
Osmosis,18-12-22,Other Tokens,6977,3077,1163455.926,166.7559017,6.039460794
Osmosis,18-12-22,Stablecoins,2535,724,1177532.726,464.5099512,43.17848
Polygon,18-12-22,Other Tokens,36316,17195,11403934.18,314.0195555,0.40510393
Polygon,18-12-22,Stablecoins,54729,18724,20124425.11,367.710448,2.019438451
Solana,18-12-22,Native Coin,13491,2301,1112510.087,82.46313003,12.39452978
Solana,18-12-22,Other Tokens,11039,1591,1244717.155,112.6644782,12.70640455
Solana,18-12-22,Stablecoins,50024,2453,3019277.922,60.35417428,0.852519988
THORChain,18-12-22,Native Coin,9095,371,5214793.544,568.3698686,391.3157871
THORChain,18-12-22,Other Tokens,6560,339,3893344.209,593.4975929,395.0237575
THORChain,18-12-22,Stablecoins,2627,50,1340605.515,510.3180491,362.3532505
